Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 824
Retained: 34
Retention rate: 4.1%

Newcomers:
  SteKoe               | First: 2019-04-18 | Latest: 2026-03-13 | Current activities: 183 | ✅ RETAINED
  joshiste             | First: 2014-09-15 | Latest: 2023-02-23 | Current activities:  5 | ✅ RETAINED
  ghost                | First: 2015-05-13 | Latest: 2023-01-21 | Current activities:  1 | ✅ RETAINED
  dependabot[bot]      | First: 2020-01-31 | Latest: 2021-03-30 | Current activities: 12 | ✅ RETAINED
  asibross             | First: 2018-07-30 | Latest: 2020-06-04 | Current activities:  1 | ✅ RETAINED
  izeye                | First: 2014-12-18 | Latest: 2020-12-08 | Current activities:  1 | ✅ RETAINED
  membersound          | First: 2017-07-04 | Latest: 2021-01-12 | Current activities:  3 | ✅ RETAINED
  LaSylv               | First: 2018-09-23 | Latest: 2023-07-04 | Current activities:  7 | ✅ RETAINED
  Sarvesh-D            | First: 2018-06-14 | Latest: 2019-05-22 | Current activities:  0 | ❌ Not retained
  tetsushiawano        | First: 2018-01-29 | Latest: 2018-05-30 | Current activities:  0 | ❌ Not retained
  patpatpat123         | First: 2019-09-01 | Latest: 2022-03-02 | Current activities:  9 | ✅ RETAINED
  shakuzen             | First: 2014-11-06 | Latest: 2018-08-29 | Current activities:  0 | ❌ Not retained
  steve-oakey          | First: 2015-05-01 | Latest: 2019-05-15 | Current activities:  0 | ❌ Not retained
  RobWin               | First: 2014-11-05 | Latest: 2016-04-07 | Current activities:  0 | ❌ Not retained
  dickerpulli          | First: 2014-11-16 | Latest: 2018-11-09 | Current activities:  0 | ❌ Not retained
  tjuchniewicz         | First: 2016-05-17 | Latest: 2018-03-28 | Current activities:  0 | ❌ Not retained
  Riggs333             | First: 2018-01-19 | Latest: 2021-02-05 | Current activities:  6 | ✅ RETAINED
  ahoehma              | First: 2020-01-06 | Latest: 2025-08-09 | Current activities:  6 | ✅ RETAINED
  lightoze             | First: 2015-11-16 | Latest: 2019-06-04 | Current activities:  0 | ❌ Not retained
  marbon87             | First: 2018-09-17 | Latest: 2025-02-24 | Current activities:  4 | ✅ RETAINED
  n0mer                | First: 2014-11-20 | Latest: 2018-04-11 | Current activities:  0 | ❌ Not retained
  ExtremeYu            | First: 2017-05-08 | Latest: 2018-05-23 | Current activities:  0 | ❌ Not retained
  Nivedan3112          | First: 2017-10-24 | Latest: 2018-05-22 | Current activities:  0 | ❌ Not retained
  SoberChina           | First: 2017-05-16 | Latest: 2017-08-14 | Current activities:  0 | ❌ Not retained
  aantono              | First: 2016-06-10 | Latest: 2019-04-05 | Current activities:  0 | ❌ Not retained
  bhagyaperera123      | First: 2018-08-07 | Latest: 2018-08-28 | Current activities:  0 | ❌ Not retained
  cforce               | First: 2015-12-19 | Latest: 2016-06-13 | Current activities:  0 | ❌ Not retained
  lidkowiak            | First: 2015-08-21 | Latest: 2018-05-23 | Current activities:  0 | ❌ Not retained
  ouaibsky             | First: 2015-02-11 | Latest: 2021-11-23 | Current activities:  1 | ✅ RETAINED
  rfelgent             | First: 2016-09-13 | Latest: 2017-02-07 | Current activities:  0 | ❌ Not retained
  srempfer             | First: 2018-03-27 | Latest: 2021-07-06 | Current activities:  5 | ✅ RETAINED
  Ask149               | First: 2019-10-07 | Latest: 2020-02-25 | Current activities:  0 | ❌ Not retained
  Na3blis              | First: 2018-09-28 | Latest: 2024-04-30 | Current activities:  2 | ✅ RETAINED
  anderius             | First: 2016-10-31 | Latest: 2017-08-08 | Current activities:  0 | ❌ Not retained
  arunkpatra           | First: 2015-11-10 | Latest: 2020-05-20 | Current activities:  2 | ✅ RETAINED
  christianf2029       | First: 2017-08-25 | Latest: 2017-12-12 | Current activities:  0 | ❌ Not retained
  dilbertside          | First: 2016-11-05 | Latest: 2016-12-07 | Current activities:  0 | ❌ Not retained
  ernakulgoyal         | First: 2018-04-18 | Latest: 2019-06-28 | Current activities:  0 | ❌ Not retained
  mmoayyed             | First: 2018-10-20 | Latest: 2020-06-12 | Current activities:  1 | ✅ RETAINED
  mrumpf               | First: 2015-06-16 | Latest: 2018-01-09 | Current activities:  0 | ❌ Not retained
  pradeepkusingh       | First: 2016-09-10 | Latest: 2016-09-14 | Current activities:  0 | ❌ Not retained
  semeiser             | First: 2016-03-24 | Latest: 2018-09-07 | Current activities:  0 | ❌ Not retained
  y-luis-rojo          | First: 2017-12-28 | Latest: 2019-03-16 | Current activities:  0 | ❌ Not retained
  zhanglei-1987        | First: 2019-07-19 | Latest: 2020-01-03 | Current activities:  0 | ❌ Not retained
  Ayden-Franklin       | First: 2019-12-10 | Latest: 2020-10-20 | Current activities:  3 | ✅ RETAINED
  Nyamkhuub            | First: 2019-07-26 | Latest: 2019-08-07 | Current activities:  0 | ❌ Not retained
  andresoviedo         | First: 2018-08-16 | Latest: 2020-03-29 | Current activities:  2 | ✅ RETAINED
  ccit-spence          | First: 2015-03-14 | Latest: 2015-05-07 | Current activities:  0 | ❌ Not retained
  ctoestreich          | First: 2017-04-27 | Latest: 2017-11-10 | Current activities:  0 | ❌ Not retained
  dgomesbr             | First: 2015-02-26 | Latest: 2015-02-26 | Current activities:  0 | ❌ Not retained
  djgeary              | First: 2018-07-13 | Latest: 2019-12-03 | Current activities:  0 | ❌ Not retained
  dragontree101        | First: 2016-06-17 | Latest: 2016-06-22 | Current activities:  0 | ❌ Not retained
  ezraroi              | First: 2017-01-05 | Latest: 2019-06-04 | Current activities:  0 | ❌ Not retained
  harestupramadharma   | First: 2016-04-06 | Latest: 2016-04-21 | Current activities:  0 | ❌ Not retained
  hsoftxl              | First: 2017-01-12 | Latest: 2017-07-03 | Current activities:  0 | ❌ Not retained
  jvmlet               | First: 2016-02-04 | Latest: 2016-03-08 | Current activities:  0 | ❌ Not retained
  librucha             | First: 2015-09-09 | Latest: 2015-10-06 | Current activities:  0 | ❌ Not retained
  sandyjohn            | First: 2018-08-30 | Latest: 2018-09-18 | Current activities:  0 | ❌ Not retained
  yevtsy               | First: 2018-10-11 | Latest: 2018-12-20 | Current activities:  0 | ❌ Not retained
  GertVil              | First: 2018-05-14 | Latest: 2018-06-15 | Current activities:  0 | ❌ Not retained
  Hublo22              | First: 2016-12-28 | Latest: 2017-08-10 | Current activities:  0 | ❌ Not retained
  JWThewes             | First: 2017-02-16 | Latest: 2017-08-23 | Current activities:  0 | ❌ Not retained
  JakubKrhovjak        | First: 2017-05-19 | Latest: 2018-08-25 | Current activities:  0 | ❌ Not retained
  JavierSegoviaCordoba | First: 2018-08-12 | Latest: 2018-08-15 | Current activities:  0 | ❌ Not retained
  Mike-the-one         | First: 2018-07-05 | Latest: 2018-07-11 | Current activities:  0 | ❌ Not retained
  ReuDa                | First: 2019-10-08 | Latest: 2019-11-15 | Current activities:  0 | ❌ Not retained
  SoftwareKing         | First: 2019-01-29 | Latest: 2019-02-24 | Current activities:  0 | ❌ Not retained
  ZuevKirill95         | First: 2019-12-14 | Latest: 2020-02-23 | Current activities:  0 | ❌ Not retained
  aayushgupta          | First: 2015-12-09 | Latest: 2016-01-06 | Current activities:  0 | ❌ Not retained
  alansfa              | First: 2015-12-29 | Latest: 2016-02-25 | Current activities:  0 | ❌ Not retained
  anandvarkeyphilips   | First: 2018-08-29 | Latest: 2018-09-01 | Current activities:  0 | ❌ Not retained
  berinle              | First: 2016-08-03 | Latest: 2016-09-30 | Current activities:  0 | ❌ Not retained
  bmw1800cc            | First: 2016-11-17 | Latest: 2016-12-13 | Current activities:  0 | ❌ Not retained
  cbelleza             | First: 2016-07-10 | Latest: 2016-07-15 | Current activities:  0 | ❌ Not retained
  ddcruver             | First: 2019-04-25 | Latest: 2020-06-30 | Current activities:  1 | ✅ RETAINED
  ddebree              | First: 2019-07-19 | Latest: 2023-01-18 | Current activities:  1 | ✅ RETAINED
  dmwb                 | First: 2016-02-24 | Latest: 2016-05-19 | Current activities:  0 | ❌ Not retained
  eduardocintra        | First: 2018-09-05 | Latest: 2018-09-10 | Current activities:  0 | ❌ Not retained
  grissomsh            | First: 2016-09-30 | Latest: 2016-11-10 | Current activities:  0 | ❌ Not retained
  gxl191911            | First: 2019-02-13 | Latest: 2019-02-22 | Current activities:  0 | ❌ Not retained
  hendisantika         | First: 2016-11-23 | Latest: 2021-08-01 | Current activities:  2 | ✅ RETAINED
  imod                 | First: 2016-04-27 | Latest: 2019-10-08 | Current activities:  0 | ❌ Not retained
  javanan              | First: 2017-06-13 | Latest: 2018-05-30 | Current activities:  0 | ❌ Not retained
  klu2                 | First: 2015-06-28 | Latest: 2015-07-02 | Current activities:  0 | ❌ Not retained
  lucwillems           | First: 2018-10-06 | Latest: 2021-06-07 | Current activities:  1 | ✅ RETAINED
  matzegebbe           | First: 2018-07-04 | Latest: 2019-01-08 | Current activities:  0 | ❌ Not retained
  mikexliu             | First: 2016-07-14 | Latest: 2017-02-09 | Current activities:  0 | ❌ Not retained
  ozkanpakdil          | First: 2019-01-20 | Latest: 2019-07-06 | Current activities:  0 | ❌ Not retained
  rhosman              | First: 2016-08-22 | Latest: 2019-01-22 | Current activities:  0 | ❌ Not retained
  ronnberg             | First: 2017-04-20 | Latest: 2020-11-19 | Current activities:  1 | ✅ RETAINED
  selimok              | First: 2017-04-05 | Latest: 2021-06-10 | Current activities:  1 | ✅ RETAINED
  shixueshang          | First: 2018-07-19 | Latest: 2018-07-20 | Current activities:  0 | ❌ Not retained
  silentFred           | First: 2017-07-04 | Latest: 2018-07-16 | Current activities:  0 | ❌ Not retained
  sincang              | First: 2017-12-14 | Latest: 2018-03-11 | Current activities:  0 | ❌ Not retained
  thomasdarimont       | First: 2015-08-03 | Latest: 2015-12-18 | Current activities:  0 | ❌ Not retained
  tobiasflohre         | First: 2014-12-19 | Latest: 2016-03-04 | Current activities:  0 | ❌ Not retained
  weeniearms           | First: 2016-10-11 | Latest: 2016-10-11 | Current activities:  0 | ❌ Not retained
  yleguern             | First: 2018-11-16 | Latest: 2019-12-04 | Current activities:  0 | ❌ Not retained
  zqr95518             | First: 2018-12-03 | Latest: 2019-08-06 | Current activities:  0 | ❌ Not retained
  zurhan               | First: 2018-07-18 | Latest: 2019-05-16 | Current activities:  0 | ❌ Not retained
  Adhders              | First: 2019-11-01 | Latest: 2019-11-04 | Current activities:  0 | ❌ Not retained
  Antauri              | First: 2016-07-05 | Latest: 2016-07-27 | Current activities:  0 | ❌ Not retained
  Ben-Mark             | First: 2019-02-16 | Latest: 2019-02-16 | Current activities:  0 | ❌ Not retained
  ChenZheOnePiece      | First: 2019-12-24 | Latest: 2019-12-24 | Current activities:  0 | ❌ Not retained
  Controlix            | First: 2016-05-19 | Latest: 2016-07-04 | Current activities:  0 | ❌ Not retained
  David-A-Phillips     | First: 2017-01-11 | Latest: 2017-01-11 | Current activities:  0 | ❌ Not retained
  Erlix322             | First: 2018-04-03 | Latest: 2018-04-03 | Current activities:  0 | ❌ Not retained
  FengRi               | First: 2017-07-07 | Latest: 2017-07-10 | Current activities:  0 | ❌ Not retained
