Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 142
Retained: 9
Retention rate: 6.3%

Newcomers:
  SteKoe               | First: 2019-04-18 | Latest: 2026-03-13 | Current activities: 175 | ✅ RETAINED
  joshiste             | First: 2014-09-15 | Latest: 2019-03-18 | Current activities:  0 | ❌ Not retained
  dependabot[bot]      | First: 2020-01-31 | Latest: 2021-03-30 | Current activities: 12 | ✅ RETAINED
  izeye                | First: 2015-01-22 | Latest: 2019-07-24 | Current activities:  0 | ❌ Not retained
  LaSylv               | First: 2018-09-23 | Latest: 2020-05-05 | Current activities:  5 | ✅ RETAINED
  asibross             | First: 2018-08-01 | Latest: 2020-06-04 | Current activities:  1 | ✅ RETAINED
  dickerpulli          | First: 2014-11-16 | Latest: 2018-11-09 | Current activities:  0 | ❌ Not retained
  semeiser             | First: 2016-03-24 | Latest: 2018-09-07 | Current activities:  0 | ❌ Not retained
  mmoayyed             | First: 2018-10-20 | Latest: 2020-06-12 | Current activities:  1 | ✅ RETAINED
  shakuzen             | First: 2014-11-08 | Latest: 2018-06-11 | Current activities:  0 | ❌ Not retained
  steve-oakey          | First: 2015-05-01 | Latest: 2016-06-03 | Current activities:  0 | ❌ Not retained
  ReuDa                | First: 2019-10-08 | Latest: 2019-11-15 | Current activities:  0 | ❌ Not retained
  Riggs333             | First: 2018-01-19 | Latest: 2021-01-15 | Current activities:  2 | ✅ RETAINED
  RobWin               | First: 2014-11-12 | Latest: 2016-02-12 | Current activities:  0 | ❌ Not retained
  ozkanpakdil          | First: 2019-01-20 | Latest: 2019-07-06 | Current activities:  0 | ❌ Not retained
  tetsushiawano        | First: 2018-02-11 | Latest: 2018-02-28 | Current activities:  0 | ❌ Not retained
  JefersonOC           | First: 2016-12-08 | Latest: 2017-05-02 | Current activities:  0 | ❌ Not retained
  ZuevKirill95         | First: 2019-12-14 | Latest: 2020-02-23 | Current activities:  0 | ❌ Not retained
  anderius             | First: 2016-11-07 | Latest: 2017-08-08 | Current activities:  0 | ❌ Not retained
  arunkpatra           | First: 2015-11-20 | Latest: 2020-05-20 | Current activities:  1 | ✅ RETAINED
  aweigold             | First: 2018-11-12 | Latest: 2019-01-06 | Current activities:  0 | ❌ Not retained
  based2               | First: 2018-04-30 | Latest: 2018-05-11 | Current activities:  0 | ❌ Not retained
  brunolellis          | First: 2018-07-10 | Latest: 2018-07-10 | Current activities:  0 | ❌ Not retained
  ddebree              | First: 2019-07-19 | Latest: 2023-01-18 | Current activities:  1 | ✅ RETAINED
  dgomesbr             | First: 2015-02-26 | Latest: 2015-02-26 | Current activities:  0 | ❌ Not retained
