Previous period: 2022-03-14 to 2024-03-13
Current period: 2024-03-13 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2022-03-14...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 157
Retained: 5
Retention rate: 3.2%

Newcomers:
  hzpz                 | First: 2023-06-02 | Latest: 2025-08-11 | Current activities:  5 | ✅ RETAINED
  Kieun                | First: 2022-05-04 | Latest: 2025-02-13 | Current activities:  1 | ✅ RETAINED
  sullis               | First: 2022-06-18 | Latest: 2024-03-03 | Current activities:  0 | ❌ Not retained
  JavaLionLi           | First: 2023-01-11 | Latest: 2024-11-12 | Current activities:  3 | ✅ RETAINED
  MahatmaFatalError    | First: 2023-05-05 | Latest: 2025-11-12 | Current activities:  2 | ✅ RETAINED
  ViliusS              | First: 2022-05-28 | Latest: 2022-09-09 | Current activities:  0 | ❌ Not retained
  genuss               | First: 2022-10-08 | Latest: 2023-11-16 | Current activities:  0 | ❌ Not retained
  iuliiasobolevska     | First: 2022-12-09 | Latest: 2023-07-05 | Current activities:  0 | ❌ Not retained
  oespino              | First: 2022-03-18 | Latest: 2022-03-24 | Current activities:  0 | ❌ Not retained
  qqhai007             | First: 2022-04-06 | Latest: 2023-01-03 | Current activities:  0 | ❌ Not retained
  thomaszub            | First: 2022-04-05 | Latest: 2022-10-27 | Current activities:  0 | ❌ Not retained
  JohanNordlinder      | First: 2024-02-23 | Latest: 2025-03-21 | Current activities:  2 | ✅ RETAINED
  aohanhongzhi         | First: 2023-11-13 | Latest: 2024-01-10 | Current activities:  0 | ❌ Not retained
  lagudomeze           | First: 2022-08-16 | Latest: 2022-09-18 | Current activities:  0 | ❌ Not retained
  pepevalbe            | First: 2022-03-27 | Latest: 2022-04-13 | Current activities:  0 | ❌ Not retained
  rainerfrey-inxmail   | First: 2022-11-29 | Latest: 2023-05-04 | Current activities:  0 | ❌ Not retained
  EyedPeas             | First: 2022-11-22 | Latest: 2022-12-12 | Current activities:  0 | ❌ Not retained
