since;until;total;active;active_pct;leaving;leaving_pct;repeat_contribs
2014-01-01;2014-03-20;0;0;0,00;0;0,00;0
2014-03-20;2014-09-20;0;0;0,00;0;0,00;0
2014-09-20;2015-03-20;21;18;0,86;3;0,14;9
2015-03-20;2015-09-20;23;17;0,74;6;0,26;9
2015-09-20;2016-03-20;34;18;0,53;16;0,47;11
2016-03-20;2016-09-20;50;34;0,68;16;0,32;18
2016-09-20;2017-03-20;80;45;0,56;35;0,44;22
2017-03-20;2017-09-20;76;56;0,74;20;0,26;21
2017-09-20;2018-03-20;71;42;0,59;29;0,41;9
2018-03-20;2018-09-20;151;84;0,56;67;0,44;34
2018-09-20;2019-03-20;108;57;0,53;51;0,47;31
2019-03-20;2019-09-20;61;34;0,56;27;0,44;8
2019-09-20;2020-03-20;68;33;0,49;35;0,51;12
2020-03-20;2020-09-20;62;28;0,45;34;0,55;15
2020-09-20;2021-03-20;51;33;0,65;18;0,35;11
2021-03-20;2021-09-20;36;20;0,56;16;0,44;7
2021-09-20;2022-03-20;38;20;0,53;18;0,47;7
2022-03-20;2022-09-20;36;20;0,56;16;0,44;6
2022-09-20;2023-03-20;45;22;0,49;23;0,51;8
2023-03-20;2023-09-20;38;20;0,53;18;0,47;4
2023-09-20;2024-03-20;26;14;0,54;12;0,46;5
2024-03-20;2024-09-20;27;10;0,37;17;0,63;1
2024-09-20;2025-03-20;14;5;0,36;9;0,64;4
2025-03-20;2025-09-20;20;8;0,40;12;0,60;3
2025-09-20;2026-03-20;9;5;0,56;4;0,44;2
