Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  cdprete                        | First: 2025-01-27 | Last: 2026-03-13 | ACTIVE
  lthasle                        | First: 2026-03-12 | Last: 2026-03-12 | ACTIVE
  neoludo                        | First: 2025-09-16 | Last: 2026-03-02 | ACTIVE
  amacharla15                    | First: 2026-03-01 | Last: 2026-03-01 | ACTIVE
  obourgain                      | First: 2025-03-31 | Last: 2026-02-26 | ACTIVE
  michael-wirth                  | First: 2021-05-02 | Last: 2026-02-17 | ACTIVE
  carrotFromCali                 | First: 2026-01-14 | Last: 2026-02-12 | ACTIVE
  bart-vmware                    | First: 2026-01-20 | Last: 2026-02-04 | ACTIVE
  tan9                           | First: 2026-02-03 | Last: 2026-02-03 | ACTIVE
  dennisvang                     | First: 2026-01-27 | Last: 2026-01-27 | ACTIVE
  csbiy                          | First: 2026-01-25 | Last: 2026-01-25 | ACTIVE
  cbot59                         | First: 2025-12-28 | Last: 2025-12-28 | ACTIVE
  squalou                        | First: 2025-12-10 | Last: 2025-12-10 | LEAVING
  cybervuln2077                  | First: 2025-12-09 | Last: 2025-12-09 | LEAVING
  swapneshran                    | First: 2025-12-05 | Last: 2025-12-05 | LEAVING
  teja2                          | First: 2025-11-24 | Last: 2025-11-24 | LEAVING
  MahatmaFatalError              | First: 2023-05-05 | Last: 2025-11-12 | LEAVING
  EmirBoyaci                     | First: 2025-02-26 | Last: 2025-11-10 | LEAVING
  TKorhonen                      | First: 2025-11-03 | Last: 2025-11-03 | LEAVING
  mnk                            | First: 2025-09-21 | Last: 2025-09-21 | LEAVING
  myProjectsRavi                 | First: 2025-08-24 | Last: 2025-08-27 | LEAVING
  benjaminoweprintix             | First: 2025-08-20 | Last: 2025-08-20 | LEAVING
  AE-RobertMcDonnell             | First: 2025-08-07 | Last: 2025-08-11 | LEAVING
  98001yash                      | First: 2025-08-10 | Last: 2025-08-10 | LEAVING
  ahoehma                        | First: 2020-01-06 | Last: 2025-08-09 | LEAVING
  reachvangala                   | First: 2025-07-30 | Last: 2025-07-30 | LEAVING
  callmeATHUL                    | First: 2025-07-10 | Last: 2025-07-10 | LEAVING
  ganeshbabugb                   | First: 2025-07-08 | Last: 2025-07-08 | LEAVING
  BCS-ChaitaliS                  | First: 2025-07-01 | Last: 2025-07-01 | LEAVING
  Raj002                         | First: 2025-06-24 | Last: 2025-06-24 | LEAVING
  jamescatto                     | First: 2025-06-20 | Last: 2025-06-20 | LEAVING
  Caratacus                      | First: 2025-06-03 | Last: 2025-06-03 | LEAVING
  varunnmiglani                  | First: 2025-06-02 | Last: 2025-06-02 | LEAVING
  PzaThief                       | First: 2025-05-28 | Last: 2025-05-28 | LEAVING
  bigluds                        | First: 2025-05-23 | Last: 2025-05-23 | LEAVING
  MichiBaum                      | First: 2025-05-21 | Last: 2025-05-21 | LEAVING
  luguohaole                     | First: 2025-05-15 | Last: 2025-05-15 | LEAVING
  hanpov                         | First: 2025-05-08 | Last: 2025-05-08 | LEAVING
  Anvice                         | First: 2025-04-24 | Last: 2025-04-28 | LEAVING
  carolmorneau                   | First: 2025-04-25 | Last: 2025-04-25 | LEAVING
  riky2124                       | First: 2025-04-21 | Last: 2025-04-21 | LEAVING
  rcrafael                       | First: 2025-04-19 | Last: 2025-04-19 | LEAVING
  mrdaios                        | First: 2025-04-06 | Last: 2025-04-06 | LEAVING
  alicetongtong8                 | First: 2025-04-05 | Last: 2025-04-05 | LEAVING
  xxcka                          | First: 2025-04-03 | Last: 2025-04-03 | LEAVING
  v3rm0n                         | First: 2024-05-09 | Last: 2025-03-31 | LEAVING
  JohanNordlinder                | First: 2024-02-23 | Last: 2025-03-21 | LEAVING
  moxbo                          | First: 2024-11-25 | Last: 2025-03-07 | LEAVING
  sukhminderarora                | First: 2025-02-17 | Last: 2025-02-26 | LEAVING
  marbon87                       | First: 2018-09-17 | Last: 2025-02-24 | LEAVING
  mcanti                         | First: 2025-02-14 | Last: 2025-02-14 | LEAVING
  Kieun                          | First: 2022-05-04 | Last: 2025-02-13 | LEAVING
  TimHess                        | First: 2024-11-13 | Last: 2025-01-30 | LEAVING
  jacekbilski                    | First: 2024-12-06 | Last: 2024-12-19 | LEAVING
  nandorholozsnyak               | First: 2024-12-11 | Last: 2024-12-11 | LEAVING
  HelloDhero                     | First: 2024-12-09 | Last: 2024-12-09 | LEAVING
  NaccOll                        | First: 2024-11-21 | Last: 2024-11-21 | LEAVING
  niuone-cloud                   | First: 2024-11-20 | Last: 2024-11-20 | LEAVING
  konushefci-jehona              | First: 2024-11-14 | Last: 2024-11-14 | LEAVING
  JavaLionLi                     | First: 2023-01-11 | Last: 2024-11-12 | LEAVING
  DmitryTen                      | First: 2024-11-12 | Last: 2024-11-12 | LEAVING
  TomDoesb                       | First: 2024-11-12 | Last: 2024-11-12 | LEAVING
  davidfevre-gouv-nc             | First: 2024-11-06 | Last: 2024-11-06 | LEAVING
  mranile-dev                    | First: 2024-10-08 | Last: 2024-10-08 | LEAVING
  THENNARASU                     | First: 2024-09-26 | Last: 2024-09-26 | LEAVING
  rohit-jangir-codes             | First: 2024-09-12 | Last: 2024-09-12 | LEAVING
  kevin-agysoft                  | First: 2024-09-10 | Last: 2024-09-10 | LEAVING
  michaelisvy                    | First: 2024-09-07 | Last: 2024-09-07 | LEAVING
  stoneLee81                     | First: 2024-09-04 | Last: 2024-09-04 | LEAVING
  ParkerM                        | First: 2021-01-31 | Last: 2024-08-30 | LEAVING
  amirkhanmoglix                 | First: 2024-08-28 | Last: 2024-08-28 | LEAVING
  zhangys529                     | First: 2024-08-23 | Last: 2024-08-23 | LEAVING
  breckenenneking                | First: 2024-08-02 | Last: 2024-08-02 | LEAVING
  andreasfritz                   | First: 2021-11-26 | Last: 2024-06-21 | LEAVING
  Susuper2019                    | First: 2024-06-13 | Last: 2024-06-13 | LEAVING
  frgaume                        | First: 2024-06-04 | Last: 2024-06-04 | LEAVING
  HeXiaoShu                      | First: 2024-06-02 | Last: 2024-06-02 | LEAVING
  Swarn10                        | First: 2024-05-31 | Last: 2024-05-31 | LEAVING
  tengcomplex                    | First: 2024-05-22 | Last: 2024-05-22 | LEAVING
  arikab                         | First: 2024-05-17 | Last: 2024-05-17 | LEAVING
  luanvelasco                    | First: 2024-05-08 | Last: 2024-05-08 | LEAVING
  Muyangmin                      | First: 2024-05-06 | Last: 2024-05-06 | LEAVING
  StefanHufschmidt               | First: 2024-04-30 | Last: 2024-05-02 | LEAVING
  Na3blis                        | First: 2018-09-28 | Last: 2024-04-30 | LEAVING
  ffroliva                       | First: 2024-04-17 | Last: 2024-04-17 | LEAVING
  p4pramod                       | First: 2024-04-16 | Last: 2024-04-16 | LEAVING
  Subrhamanya                    | First: 2024-04-15 | Last: 2024-04-15 | LEAVING
  belingueres                    | First: 2024-04-11 | Last: 2024-04-11 | LEAVING
  madorb                         | First: 2024-04-03 | Last: 2024-04-03 | LEAVING
  VladislavBakshanskij           | First: 2024-03-25 | Last: 2024-03-25 | LEAVING
