since;until;total;active;active_pct;leaving;leaving_pct;repeat_contribs
2014-01-01;2014-03-20;0;0;0,00;0;0,00;0
2014-03-20;2014-09-20;1;1;1,00;0;0,00;1
2014-09-20;2015-03-20;12;9;0,75;3;0,25;5
2015-03-20;2015-09-20;9;6;0,67;3;0,33;5
2015-09-20;2016-03-20;7;5;0,71;2;0,29;2
2016-03-20;2016-09-20;7;5;0,71;2;0,29;3
2016-09-20;2017-03-20;16;10;0,62;6;0,38;4
2017-03-20;2017-09-20;13;4;0,31;9;0,69;1
2017-09-20;2018-03-20;10;5;0,50;5;0,50;2
2018-03-20;2018-09-20;16;9;0,56;7;0,44;5
2018-09-20;2019-03-20;19;10;0,53;9;0,47;5
2019-03-20;2019-09-20;20;16;0,80;4;0,20;5
2019-09-20;2020-03-20;12;7;0,58;5;0,42;2
2020-03-20;2020-09-20;18;11;0,61;7;0,39;8
2020-09-20;2021-03-20;16;13;0,81;3;0,19;8
2021-03-20;2021-09-20;11;5;0,45;6;0,55;3
2021-09-20;2022-03-20;8;6;0,75;2;0,25;4
2022-03-20;2022-09-20;9;8;0,89;1;0,11;5
2022-09-20;2023-03-20;6;2;0,33;4;0,67;1
2023-03-20;2023-09-20;5;4;0,80;1;0,20;1
2023-09-20;2024-03-20;10;3;0,30;7;0,70;1
2024-03-20;2024-09-20;1;0;0,00;1;1,00;0
2024-09-20;2025-03-20;6;3;0,50;3;0,50;3
2025-03-20;2025-09-20;13;7;0,54;6;0,46;4
2025-09-20;2026-03-20;7;5;0,71;2;0,29;1
