============================================================
NEWCOMER CLASSIFICATION
============================================================
Description      : Classification of newcomers who made their first
                   pull contribution between 2025-03-20 and 2026-03-20.
                   A newcomer is considered LEAVING when their last
                   contribution was more than 90 days ago
                   (i.e. before 2025-12-20), ACTIVE otherwise.
Contribution type: pull
Threshold        : 90 days (leaving cutoff: 2025-12-20)
============================================================
Total newcomers  : 19
Active           : 5 (26%)
Leaving          : 14 (74%)
Repeat contribs  : 4 (21%)
============================================================

Newcomers:
  cdprete                        | First: 2026-02-18 | Last: 2026-03-18 | ACTIVE
  amacharla15                    | First: 2026-03-01 | Last: 2026-03-01 | ACTIVE
  obourgain                      | First: 2026-02-26 | Last: 2026-02-26 | ACTIVE
  tan9                           | First: 2026-02-03 | Last: 2026-02-03 | ACTIVE
  csbiy                          | First: 2026-01-25 | Last: 2026-01-25 | ACTIVE
  teja2                          | First: 2025-11-24 | Last: 2025-11-24 | LEAVING
  mnk                            | First: 2025-09-21 | Last: 2025-09-21 | LEAVING
  myProjectsRavi                 | First: 2025-08-24 | Last: 2025-08-27 | LEAVING
  AE-RobertMcDonnell             | First: 2025-08-08 | Last: 2025-08-11 | LEAVING
  98001yash                      | First: 2025-08-10 | Last: 2025-08-10 | LEAVING
  ahoehma                        | First: 2025-08-09 | Last: 2025-08-09 | LEAVING
  reachvangala                   | First: 2025-07-30 | Last: 2025-07-30 | LEAVING
  callmeATHUL                    | First: 2025-07-10 | Last: 2025-07-10 | LEAVING
  jamescatto                     | First: 2025-06-20 | Last: 2025-06-20 | LEAVING
  varunnmiglani                  | First: 2025-06-02 | Last: 2025-06-02 | LEAVING
  PzaThief                       | First: 2025-05-28 | Last: 2025-05-28 | LEAVING
  riky2124                       | First: 2025-04-21 | Last: 2025-04-21 | LEAVING
  v3rm0n                         | First: 2025-03-31 | Last: 2025-03-31 | LEAVING
  JohanNordlinder                | First: 2025-03-21 | Last: 2025-03-21 | LEAVING

Newcomers with repeat contributions:
  cdprete                        | First: 2026-02-18 | Last: 2026-03-18 | Contributions: 2
  myProjectsRavi                 | First: 2025-08-24 | Last: 2025-08-27 | Contributions: 2
  AE-RobertMcDonnell             | First: 2025-08-08 | Last: 2025-08-11 | Contributions: 2
  callmeATHUL                    | First: 2025-07-10 | Last: 2025-07-10 | Contributions: 2
