============================================================
NEWCOMER CLASSIFICATION
============================================================
Description      : Classification of newcomers who made their first
                   pull contribution between 2014-01-01 and 2026-03-20.
                   A newcomer is considered LEAVING when their last
                   contribution was more than 90 days ago
                   (i.e. before 2025-12-20), ACTIVE otherwise.
Contribution type: pull
Threshold        : 90 days (leaving cutoff: 2025-12-20)
============================================================
Total newcomers  : 244
Active           : 5 (2%)
Leaving          : 239 (98%)
============================================================

Newcomers:
  cdprete                        | First: 2026-02-18 | Last: 2026-03-18 | ACTIVE
  amacharla15                    | First: 2026-03-01 | Last: 2026-03-01 | ACTIVE
  obourgain                      | First: 2026-02-26 | Last: 2026-02-26 | ACTIVE
  tan9                           | First: 2026-02-03 | Last: 2026-02-03 | ACTIVE
  csbiy                          | First: 2026-01-25 | Last: 2026-01-25 | ACTIVE
  teja2                          | First: 2025-11-24 | Last: 2025-11-24 | LEAVING
  EmirBoyaci                     | First: 2025-02-26 | Last: 2025-11-10 | LEAVING
  mnk                            | First: 2025-09-21 | Last: 2025-09-21 | LEAVING
  myProjectsRavi                 | First: 2025-08-24 | Last: 2025-08-27 | LEAVING
  AE-RobertMcDonnell             | First: 2025-08-08 | Last: 2025-08-11 | LEAVING
  98001yash                      | First: 2025-08-10 | Last: 2025-08-10 | LEAVING
  ahoehma                        | First: 2025-08-09 | Last: 2025-08-09 | LEAVING
  reachvangala                   | First: 2025-07-30 | Last: 2025-07-30 | LEAVING
  callmeATHUL                    | First: 2025-07-10 | Last: 2025-07-10 | LEAVING
  jamescatto                     | First: 2025-06-20 | Last: 2025-06-20 | LEAVING
  varunnmiglani                  | First: 2025-06-02 | Last: 2025-06-02 | LEAVING
  PzaThief                       | First: 2025-05-28 | Last: 2025-05-28 | LEAVING
  riky2124                       | First: 2025-04-21 | Last: 2025-04-21 | LEAVING
  v3rm0n                         | First: 2025-03-31 | Last: 2025-03-31 | LEAVING
  JohanNordlinder                | First: 2025-03-21 | Last: 2025-03-21 | LEAVING
  sukhminderarora                | First: 2025-02-17 | Last: 2025-02-26 | LEAVING
  michael-wirth                  | First: 2025-02-24 | Last: 2025-02-24 | LEAVING
  MahatmaFatalError              | First: 2023-11-08 | Last: 2025-02-14 | LEAVING
  jacekbilski                    | First: 2024-12-19 | Last: 2024-12-19 | LEAVING
  NaccOll                        | First: 2024-11-21 | Last: 2024-11-21 | LEAVING
  davidfevre-gouv-nc             | First: 2024-11-06 | Last: 2024-11-06 | LEAVING
  andreasfritz                   | First: 2021-11-26 | Last: 2024-06-07 | LEAVING
  StefanHufschmidt               | First: 2024-05-02 | Last: 2024-05-02 | LEAVING
  sullis                         | First: 2022-06-18 | Last: 2024-03-03 | LEAVING
  Shubzz-02                      | First: 2024-02-26 | Last: 2024-02-26 | LEAVING
  psemeniuk                      | First: 2024-01-26 | Last: 2024-01-26 | LEAVING
  ericmaino                      | First: 2023-11-26 | Last: 2023-11-26 | LEAVING
  genuss                         | First: 2022-10-09 | Last: 2023-11-16 | LEAVING
  Josep-Lancharro-Indra          | First: 2023-11-10 | Last: 2023-11-10 | LEAVING
  dzahbarov                      | First: 2023-11-04 | Last: 2023-11-04 | LEAVING
  denyskonakhevych               | First: 2023-10-24 | Last: 2023-10-24 | LEAVING
  qxo                            | First: 2021-12-04 | Last: 2023-10-21 | LEAVING
  hdeadman                       | First: 2023-10-15 | Last: 2023-10-15 | LEAVING
  huangguangshan                 | First: 2023-10-10 | Last: 2023-10-10 | LEAVING
  jianfengqs                     | First: 2023-10-09 | Last: 2023-10-09 | LEAVING
  livk-cloud                     | First: 2023-07-20 | Last: 2023-07-20 | LEAVING
  ydubrouka                      | First: 2023-07-20 | Last: 2023-07-20 | LEAVING
  iuliiasobolevska               | First: 2023-07-05 | Last: 2023-07-05 | LEAVING
  pnewhook                       | First: 2023-04-21 | Last: 2023-04-21 | LEAVING
  nbadenne                       | First: 2023-01-23 | Last: 2023-01-23 | LEAVING
  ddebree                        | First: 2019-07-19 | Last: 2023-01-18 | LEAVING
  EyedPeas                       | First: 2022-12-12 | Last: 2022-12-12 | LEAVING
  Fuud                           | First: 2022-03-10 | Last: 2022-12-10 | LEAVING
  rainerfrey-inxmail             | First: 2022-11-29 | Last: 2022-11-29 | LEAVING
  thomaszub                      | First: 2022-04-05 | Last: 2022-10-27 | LEAVING
  sweeterBox                     | First: 2022-10-20 | Last: 2022-10-20 | LEAVING
  vanwobe                        | First: 2022-09-26 | Last: 2022-09-26 | LEAVING
  lagudomeze                     | First: 2022-09-18 | Last: 2022-09-18 | LEAVING
  placaze                        | First: 2022-08-17 | Last: 2022-08-18 | LEAVING
  pihug12                        | First: 2022-08-18 | Last: 2022-08-18 | LEAVING
  liran2000                      | First: 2022-08-02 | Last: 2022-08-02 | LEAVING
  ViliusS                        | First: 2022-05-28 | Last: 2022-07-03 | LEAVING
  misselvexu                     | First: 2022-06-28 | Last: 2022-06-28 | LEAVING
  antechrestos                   | First: 2021-02-25 | Last: 2022-05-29 | LEAVING
  pepevalbe                      | First: 2022-04-13 | Last: 2022-04-13 | LEAVING
  oespino                        | First: 2022-03-18 | Last: 2022-03-18 | LEAVING
  mateofacu                      | First: 2022-01-28 | Last: 2022-01-28 | LEAVING
  VincentBostoen                 | First: 2022-01-03 | Last: 2022-01-03 | LEAVING
  ettingshausen                  | First: 2021-12-10 | Last: 2021-12-10 | LEAVING
  ouaibsky                       | First: 2015-04-16 | Last: 2021-11-23 | LEAVING
  JohReher                       | First: 2021-09-22 | Last: 2021-09-22 | LEAVING
  nathankooij                    | First: 2021-08-18 | Last: 2021-08-30 | LEAVING
  kerwin612                      | First: 2021-08-27 | Last: 2021-08-27 | LEAVING
  fiveOO                         | First: 2021-08-16 | Last: 2021-08-16 | LEAVING
  davidkarlsen                   | First: 2021-08-05 | Last: 2021-08-05 | LEAVING
  huan415                        | First: 2021-07-13 | Last: 2021-07-13 | LEAVING
  srempfer                       | First: 2020-04-25 | Last: 2021-07-06 | LEAVING
  Farden                         | First: 2021-04-22 | Last: 2021-04-22 | LEAVING
  ccoltx                         | First: 2020-12-11 | Last: 2021-03-31 | LEAVING
  Kyrie-yx-Irving                | First: 2021-03-29 | Last: 2021-03-29 | LEAVING
  eas5                           | First: 2021-03-24 | Last: 2021-03-24 | LEAVING
  zeljko-mirovic                 | First: 2021-03-22 | Last: 2021-03-22 | LEAVING
  hammadirshad                   | First: 2021-03-20 | Last: 2021-03-21 | LEAVING
  zhaoyifan0528                  | First: 2021-03-20 | Last: 2021-03-20 | LEAVING
  mask616                        | First: 2021-03-05 | Last: 2021-03-05 | LEAVING
  torrespro                      | First: 2021-02-22 | Last: 2021-02-22 | LEAVING
  stevengibbszions               | First: 2020-08-06 | Last: 2021-02-21 | LEAVING
  jonashackt                     | First: 2020-12-23 | Last: 2021-02-07 | LEAVING
  ParkerM                        | First: 2021-01-31 | Last: 2021-01-31 | LEAVING
  soe78                          | First: 2020-11-16 | Last: 2021-01-30 | LEAVING
  mle-enso                       | First: 2020-07-17 | Last: 2021-01-26 | LEAVING
  Riggs333                       | First: 2018-01-19 | Last: 2021-01-15 | LEAVING
  persapiens                     | First: 2021-01-14 | Last: 2021-01-14 | LEAVING
  manusa                         | First: 2021-01-13 | Last: 2021-01-13 | LEAVING
  andreashouben                  | First: 2020-12-11 | Last: 2020-12-11 | LEAVING
  njoysubho                      | First: 2020-11-10 | Last: 2020-11-10 | LEAVING
  karsunke                       | First: 2020-07-28 | Last: 2020-11-05 | LEAVING
  binary-park                    | First: 2020-11-05 | Last: 2020-11-05 | LEAVING
  binarywang                     | First: 2020-05-22 | Last: 2020-10-15 | LEAVING
  zhhaojie                       | First: 2020-09-02 | Last: 2020-09-02 | LEAVING
  bitbrain                       | First: 2020-08-22 | Last: 2020-08-22 | LEAVING
  timogruetter1981               | First: 2020-08-03 | Last: 2020-08-03 | LEAVING
  dersvenhesse                   | First: 2020-06-27 | Last: 2020-06-27 | LEAVING
  laffuste                       | First: 2020-06-25 | Last: 2020-06-25 | LEAVING
  MatanRubin                     | First: 2020-06-22 | Last: 2020-06-22 | LEAVING
  jintaocai                      | First: 2020-06-14 | Last: 2020-06-16 | LEAVING
  mmoayyed                       | First: 2018-10-20 | Last: 2020-06-12 | LEAVING
  asibross                       | First: 2018-08-02 | Last: 2020-06-05 | LEAVING
  mason276752                    | First: 2020-05-31 | Last: 2020-05-31 | LEAVING
  romge                          | First: 2020-05-27 | Last: 2020-05-27 | LEAVING
  arunkpatra                     | First: 2015-11-20 | Last: 2020-05-20 | LEAVING
  CJY0208                        | First: 2020-05-18 | Last: 2020-05-18 | LEAVING
  bratwurzt                      | First: 2020-04-30 | Last: 2020-05-15 | LEAVING
  mehiel                         | First: 2020-05-11 | Last: 2020-05-11 | LEAVING
  LaSylv                         | First: 2018-09-23 | Last: 2020-05-05 | LEAVING
  rebornkrunner                  | First: 2020-04-18 | Last: 2020-04-18 | LEAVING
  tapbooth                       | First: 2020-03-13 | Last: 2020-03-13 | LEAVING
  vgaddavcg                      | First: 2020-03-02 | Last: 2020-03-02 | LEAVING
  mrmercc                        | First: 2020-02-28 | Last: 2020-02-28 | LEAVING
  tokuhirom                      | First: 2020-02-27 | Last: 2020-02-27 | LEAVING
  ZuevKirill95                   | First: 2019-12-14 | Last: 2020-02-23 | LEAVING
  marcosvidolin                  | First: 2020-02-13 | Last: 2020-02-13 | LEAVING
  darrellsnow                    | First: 2020-01-17 | Last: 2020-01-17 | LEAVING
  cash1981                       | First: 2019-12-13 | Last: 2019-12-13 | LEAVING
  skosijer                       | First: 2019-09-06 | Last: 2019-11-22 | LEAVING
  ReuDa                          | First: 2019-10-08 | Last: 2019-11-15 | LEAVING
  vonrosen                       | First: 2019-10-26 | Last: 2019-10-26 | LEAVING
  imod                           | First: 2019-10-08 | Last: 2019-10-08 | LEAVING
  tscrypter                      | First: 2019-10-02 | Last: 2019-10-02 | LEAVING
  elijah-pl                      | First: 2019-09-18 | Last: 2019-09-18 | LEAVING
  calaveraInfo                   | First: 2019-09-16 | Last: 2019-09-16 | LEAVING
  fillert                        | First: 2019-09-13 | Last: 2019-09-13 | LEAVING
  shnlb2006                      | First: 2019-09-06 | Last: 2019-09-06 | LEAVING
  dotpanic                       | First: 2019-08-23 | Last: 2019-08-23 | LEAVING
  pierrickrouxel                 | First: 2019-08-07 | Last: 2019-08-07 | LEAVING
  ogennadi                       | First: 2019-08-03 | Last: 2019-08-03 | LEAVING
  weichun-wang                   | First: 2019-08-01 | Last: 2019-08-01 | LEAVING
  izeye                          | First: 2015-01-22 | Last: 2019-07-24 | LEAVING
  sverhagen                      | First: 2019-07-20 | Last: 2019-07-20 | LEAVING
  zhanglei-1987                  | First: 2019-07-19 | Last: 2019-07-19 | LEAVING
  kurly09                        | First: 2019-07-14 | Last: 2019-07-15 | LEAVING
  michaelmcfadyensky             | First: 2019-07-14 | Last: 2019-07-14 | LEAVING
  thomasNDS                      | First: 2019-07-12 | Last: 2019-07-12 | LEAVING
  ozkanpakdil                    | First: 2019-01-20 | Last: 2019-07-06 | LEAVING
  panchenko                      | First: 2019-06-18 | Last: 2019-06-18 | LEAVING
  ezraroi                        | First: 2017-01-08 | Last: 2019-06-04 | LEAVING
  lightoze                       | First: 2019-06-04 | Last: 2019-06-04 | LEAVING
